meter_id,monthly_units,bill_amount,usage_bill_ratio,night_usage_pct,voltage_std,null_reads,meter_jump_count,avg_daily_units,weekend_spike,consecutive_zeros,complaint_text,label
BR02,218.3004539769201,4605.739788831409,4.058,0.6124074561769747,3.5599452033620267,7215,4,23.619178404263632,0.9851934479235821,7,field report hook connection illegal tap,theft
BR02,170.59010063005013,2398.3167949356584,1.8,0.9379639408647977,10.324426408004218,7215,5,12.29906048684953,0.8978636481571513,0,direct tap supply bypass meter skipping,theft
BR02,1266.7703472917108,8234.00725739612,1.579,0.35563038079063874,15.824582803960839,7215,0,42.225678243057025,0.9501569350305958,0,normal usage pattern,normal
BR03,282.91585577426144,1838.9530625326993,1.067,0.48525423899675396,41.51372363685357,9853,0,9.430528525808715,0.7282092139990355,0,bill received on time,normal
BR02,123.13480983561237,2699.865574778096,3.205,0.7556937753654447,7.924145688620425,7215,5,13.845464486041518,0.8201471850096218,8,meter magnet tamper magnetic interference bypass,theft
BR02,3005.808955010877,5395.532172741537,5.408,0.35563038079063874,35.49174207650642,7215,11,27.669395757648903,0.6226132855914289,13,seal tamper suspected but unconfirmed,normal
BR03,664.5112775674747,2346.7775886259938,3.623,0.48525423899675396,52.97768509502064,9853,6,12.034756864748687,0.9293032530641326,11,meter reading correct,normal
BR03,1321.4136108932664,2466.2997972912253,4.576,0.48525423899675396,55.675857245298964,9853,3,12.647691268160129,0.9766329948617101,17,hook wire tamper seal broken jumper,normal
BR03,409.22331053836905,2659.951518499399,0.896,0.48525423899675396,60.047477271840116,9853,0,13.640777017945634,1.0533173706425394,0,meter reading correct,normal
BR03,256.6554552889651,1821.0061079003585,1.358,0.48525423899675396,102.01062586888916,9906,0,9.338492861027479,0.7211023780537539,39,meter dead intervals no reading fault,fault
BR02,3320.211028363784,6742.953789526814,2.401,0.35563038079063874,44.355064351342044,7215,9,34.57925020270161,0.7780979668137689,24,all systems normal,normal
BR02,932.0902230293482,6058.586449690763,0.825,0.35563038079063874,39.85330468549166,7215,0,31.069674100978272,0.6991259239521868,0,bill received on time,normal
BR02,295.9126850104617,5257.16073139519,4.048,0.5796178606936362,5.584657285442726,7215,8,26.959798622539434,0.9969398615680344,11,meter bypass suspected direct line connection,theft
BR02,1385.1820902001136,9003.683586300738,0.702,0.35563038079063874,59.22611622962292,7215,0,46.17273634000379,1.0389731430781073,0,all systems normal,normal
BR02,209.1427882849476,3678.1636586384952,3.554,0.9048850970305305,6.722149251619493,7215,1,18.862377736607666,0.7647230392725958,4,hook wire tamper seal broken jumper,theft
BR03,976.2598575478488,2116.368911687338,3.78,0.48525423899675396,47.776289620146,9853,6,10.85317390608891,0.83806344659459,26,usage mismatch bill discrepancy,normal
BR03,152.95766582576516,2424.925889050361,2.592,0.48525423899675396,54.741855705247566,9853,6,12.435517379745441,0.96024929164818,16,field report hook connection illegal tap,normal
BR03,393.169442550408,2555.601376577652,2.052,0.48525423899675396,57.69180923361426,9853,0,13.1056480850136,1.0119956336293785,0,meter reading correct,normal
BR03,107.62534256913561,928.8391837978709,3.017,0.5807919639315172,4.8975145291376805,9853,4,4.763277865630107,0.9394483661107316,20,check for potential bypass - negative,theft
BR03,212.78979205654784,1243.4057641971353,2.699,0.6246280235544144,10.925589984899778,9853,3,6.376439816395566,0.7922806510612685,6,check seal status normal,theft
BR02,354.65908941170085,7637.910022791734,0.84,0.35563038079063874,50.242075082418985,7215,8,39.16876934764992,0.881370753077311,2,bill received on time,normal
BR02,2301.414736469569,8495.013138409424,1.483,0.35563038079063874,55.880088486575225,7215,4,43.56416994056114,0.9802755079412281,0,meter working fine,normal
BR03,1169.7906190432088,2754.376473105937,6.339,0.48525423899675396,20.37581243486732,9853,0,14.12500755438942,1.0907088209067568,29,slight voltage variance observed,fault
BR03,452.6116486679717,2514.9036510522246,0.993,0.48525423899675396,60.14258366602913,9874,0,12.89694180026782,0.9958796928148789,20,voltage spike deviation sensor malfunction,fault
BR03,392.9602956699874,2554.241921854918,1.152,0.48525423899675396,57.66112001766512,9853,0,13.098676522332912,1.0114573015341883,0,check seal status normal,normal
BR03,417.3201730990602,2712.5811251438913,1.689,0.48525423899675396,61.23557227538886,9853,0,13.91067243663534,1.0741582312759699,0,meter working fine,normal
BR03,248.06885440063385,1612.44755360412,1.548,0.48525423899675396,36.40044081769586,9853,0,8.268961813354462,0.6385150276796937,0,check seal status normal,normal
BR03,484.89937956669377,3151.8459671835094,1.191,0.48525423899675396,71.15182279170382,9853,0,16.163312652223127,1.2481032393766827,0,normal usage pattern,normal
BR02,1355.8599165133219,8813.089457336591,2.173,0.35563038079063874,57.972390470991265,7215,0,45.19533055044406,1.0169796801444022,0,normal usage pattern,normal
BR02,1108.8910706436982,7207.791959184038,1.877,0.35563038079063874,26.32863746438768,7215,0,36.96303568812327,0.8317376099134293,0,meter working fine,normal
BR03,398.4644463391289,2590.018901204338,1.973,0.48525423899675396,58.468772841184006,9853,0,13.282148211304298,1.0256246702083074,0,billing cycle inquiry,normal
BR03,325.54281449458017,2116.028294214771,0.952,0.48525423899675396,47.76860029957001,9853,0,10.851427149819338,0.8379285650758466,0,check seal status normal,normal
BR02,881.8041062113359,9003.401303821183,3.066,0.35563038079063874,59.22425937905909,7215,8,46.17128873754453,1.0389405693084708,0,meter working fine,normal
BR03,432.82962936829654,2813.3925908939273,1.94,0.48525423899675396,63.51135593395014,9853,0,14.427654312276552,1.114078683696228,0,normal usage pattern,normal
BR03,466.38183609744374,3031.4819346333843,1.466,0.48525423899675396,68.43464676100005,9853,0,15.546061203248124,1.2004401427360514,0,meter working fine,normal
BR02,1382.5359234424188,8986.483502375722,0.966,0.35563038079063874,59.112974296108916,7215,0,46.08453078141396,1.0369883526214576,0,meter working fine,normal
BR02,1005.5261231805945,5906.941756065371,1.007,0.35563038079063874,28.008361143266608,7303,0,30.29200900546344,0.6816270011549872,12,meter sending wrong readings error code,fault
BR03,372.3053028710239,1676.6075437141558,2.812,0.8925297167512369,6.045081271221901,9853,0,8.597987403662337,1.0395471541118584,7,bill received on time,theft
